grant_id,donor,grant_name,period_start,period_end,covered_districts,reporting_month,budget_line,approved_budget_units,monthly_utilized_units,cumulative_utilized_units,cumulative_utilization_rate,finance_note
GRANT_AA_2025,Donor AA,Education Excellence Program,2025-07-01,2026-03-31,"District A, District B",July 2025,Teacher Training,100,28,28,0.28,Within budget for training module
GRANT_AA_2025,Donor AA,Education Excellence Program,2025-07-01,2026-03-31,"District A, District B",July 2025,Material & Supplies,200,45,45,0.225,Procurement initiated
GRANT_AA_2025,Donor AA,Education Excellence Program,2025-07-01,2026-03-31,"District A, District B",July 2025,Community Engagement,80,18,18,0.225,Events held in both districts
GRANT_AA_2025,Donor AA,Education Excellence Program,2025-07-01,2026-03-31,"District A, District B",July 2025,Staff Costs,150,38,38,0.253,Salaries disbursed on time
GRANT_AA_2025,Donor AA,Education Excellence Program,2025-07-01,2026-03-31,"District A, District B",August 2025,Teacher Training,100,32,60,0.60,Two batches completed
GRANT_AA_2025,Donor AA,Education Excellence Program,2025-07-01,2026-03-31,"District A, District B",August 2025,Material & Supplies,200,50,95,0.475,Mid-year reorder placed
GRANT_AA_2025,Donor AA,Education Excellence Program,2025-07-01,2026-03-31,"District A, District B",August 2025,Community Engagement,80,20,38,0.475,Parent meetings conducted
GRANT_AA_2025,Donor AA,Education Excellence Program,2025-07-01,2026-03-31,"District A, District B",August 2025,Staff Costs,150,38,76,0.507,On-track payroll
GRANT_AA_2025,Donor AA,Education Excellence Program,2025-07-01,2026-03-31,"District A, District B",September 2025,Teacher Training,100,30,90,0.90,Advanced module nearing completion
GRANT_AA_2025,Donor AA,Education Excellence Program,2025-07-01,2026-03-31,"District A, District B",September 2025,Material & Supplies,200,48,143,0.715,Q3 procurement complete
GRANT_AA_2025,Donor AA,Education Excellence Program,2025-07-01,2026-03-31,"District A, District B",September 2025,Community Engagement,80,22,60,0.75,District B rally held
GRANT_AA_2025,Donor AA,Education Excellence Program,2025-07-01,2026-03-31,"District A, District B",September 2025,Staff Costs,150,38,114,0.76,On-track
GRANT_BB_2025,Donor BB,Learning Together Initiative,2025-07-01,2026-06-30,"District C, District D",July 2025,Curriculum Development,120,30,30,0.25,First module drafted
GRANT_BB_2025,Donor BB,Learning Together Initiative,2025-07-01,2026-06-30,"District C, District D",July 2025,School Infrastructure,300,60,60,0.20,Renovation started in 5 schools
